partner,#_occurences,labs_found_in,cells_found_in,partners
GPHN,3,"['ccle', 'gcsi', 'gdsc']","['LS-180', 'LS-180', 'LS-180']","['MPP5', 'MPP5', 'MPP5']"
CDK13,3,"['ccle', 'gcsi', 'gdsc']","['KU812', 'KU812', 'KU812']","['SUGCT', 'SUGCT', 'SUGCT']"
UPF3A,3,"['ccle', 'gcsi', 'gdsc']","['KU812', 'KU812', 'KU812']","['CDC16', 'CDC16', 'CDC16']"
ABL1,3,"['ccle', 'gcsi', 'gdsc']","['KU812', 'KU812', 'KU812']","['BCR', 'BCR', 'BCR']"
BCR,3,"['ccle', 'gcsi', 'gdsc']","['KU812', 'KU812', 'KU812']","['ABL1', 'ABL1', 'ABL1']"
HSD17B4,3,"['ccle', 'gcsi', 'gdsc']","['KNS-62', 'KNS-62', 'KNS-62']","['TNFAIP8', 'TNFAIP8', 'TNFAIP8']"
SMG1P3,3,"['ccle', 'gcsi', 'gdsc']","['KNS-62', 'KNS-62', 'KNS-62']","['GNPTG', 'GNPTG', 'GNPTG']"
LPP,3,"['ccle', 'gcsi', 'gdsc']","['KNS-62', 'KNS-62', 'KNS-62']","['AC022498.1', 'AC022498.1', 'AC022498.1']"
TBC1D5,3,"['ccle', 'gcsi', 'gdsc']","['KARPAS-620', 'KARPAS-620', 'KARPAS-620']","['PLCL2-AS1', 'PLCL2-AS1', 'PLCL2-AS1']"
SMARCC1,3,"['ccle', 'gcsi', 'gdsc']","['KARPAS-620', 'KARPAS-620', 'KARPAS-620']","['PACS2', 'PACS2', 'PACS2']"
MAP7,3,"['ccle', 'gcsi', 'gdsc']","['HT55', 'HT55', 'HT55']","['MAP3K5', 'MAP3K5', 'MAP3K5']"
RABEP1,3,"['ccle', 'gcsi', 'gdsc']","['HT55', 'HT55', 'HT55']","['ALG14', 'ALG14', 'ALG14']"
USP6NL,3,"['ccle', 'gcsi', 'gdsc']","['HT-29', 'HT-29', 'HT-29']","['UPF2', 'UPF2', 'UPF2']"
ABHD12,3,"['ccle', 'gcsi', 'gdsc']","['HT-29', 'HT-29', 'HT-29']","['PYGB', 'PYGB', 'PYGB']"
FAM120B,3,"['ccle', 'gcsi', 'gdsc']","['HT-29', 'HT-29', 'HT-29']","['PRKN', 'PRKN', 'PRKN']"
ATP2C1,3,"['ccle', 'gcsi', 'gdsc']","['HT-29', 'HT-29', 'HT-29']","['LINC01208', 'LINC01208', 'LINC01208']"
PACSIN2,3,"['ccle', 'gcsi', 'gdsc']","['HT-115', 'HT-115', 'HT-115']","['TTLL1', 'TTLL1', 'TTLL1']"
GPRC5A,3,"['ccle', 'gcsi', 'gdsc']","['HT-115', 'HT-115', 'HT-115']","['RPL13AP20', 'RPL13AP20', 'RPL13AP20']"
ST14,3,"['ccle', 'gcsi', 'gdsc']","['HT-115', 'HT-115', 'HT-115']","['LINC01184', 'LINC01184', 'LINC01184']"
FLOT1,3,"['ccle', 'gcsi', 'gdsc']","['HT-115', 'HT-115', 'HT-115']","['LINC00243', 'LINC00243', 'LINC00243']"
CREBL2,3,"['ccle', 'gcsi', 'gdsc']","['HT-115', 'HT-115', 'HT-115']","['FAM234B', 'FAM234B', 'FAM234B']"
SLC12A2,3,"['ccle', 'gcsi', 'gdsc']","['HT-115', 'HT-115', 'HT-115']","['CCDC192', 'CCDC192', 'CCDC192']"
MBTD1,3,"['ccle', 'gcsi', 'gdsc']","['HCT-15', 'HCT-15', 'HCT-15']","['UTP18', 'UTP18', 'UTP18']"
PRMT3,3,"['ccle', 'gcsi', 'gdsc']","['HCT-15', 'HCT-15', 'HCT-15']","['RBM4B', 'RBM4B', 'RBM4B']"
GGA3,3,"['ccle', 'gcsi', 'gdsc']","['HCT-15', 'HCT-15', 'HCT-15']","['NUP85', 'NUP85', 'NUP85']"
FRK,3,"['ccle', 'gcsi', 'gdsc']","['HCT-15', 'HCT-15', 'HCT-15']","['NT5DC1', 'NT5DC1', 'NT5DC1']"
PLAUR,3,"['ccle', 'gcsi', 'gdsc']","['HCT-15', 'HCT-15', 'HCT-15']","['LYPD5', 'LYPD5', 'LYPD5']"
UBA2,3,"['ccle', 'gcsi', 'gdsc']","['HCT-15', 'HCT-15', 'HCT-15']","['GPI', 'GPI', 'GPI']"
NT5DC1,3,"['ccle', 'gcsi', 'gdsc']","['HCT-15', 'HCT-15', 'HCT-15']","['FRK', 'FRK', 'FRK']"
SPAG9,3,"['ccle', 'gcsi', 'gdsc']","['HCT-116', 'HCT-116', 'HCT-116']","['MBTD1', 'MBTD1', 'MBTD1']"
TCF7L2,3,"['ccle', 'gcsi', 'gdsc']","['HCT-116', 'HCT-116', 'HCT-116']","['AL158212.1', 'AL158212.1', 'AL158212.1']"
RFT1,3,"['ccle', 'gcsi', 'gdsc']","['HCC1806', 'HCC1806', 'HCC1806']","['UQCRC2', 'UQCRC2', 'UQCRC2']"
LDLRAD3,3,"['ccle', 'gcsi', 'gdsc']","['HCC1806', 'HCC1806', 'HCC1806']","['TCP11L1', 'TCP11L1', 'TCP11L1']"
RPA1,3,"['ccle', 'gcsi', 'gdsc']","['HCC1806', 'HCC1806', 'HCC1806']","['SMYD4', 'SMYD4', 'SMYD4']"
FAM222B,3,"['ccle', 'gcsi', 'gdsc']","['HCC1806', 'HCC1806', 'HCC1806']","['SEZ6', 'SEZ6', 'SEZ6']"
GALNT18,3,"['ccle', 'gcsi', 'gdsc']","['HCC1806', 'HCC1806', 'HCC1806']","['SBF2', 'SBF2', 'SBF2']"
GPR39,3,"['ccle', 'gcsi', 'gdsc']","['HCC1806', 'HCC1806', 'HCC1806']","['NCKAP5', 'NCKAP5', 'NCKAP5']"
PTPRJ,3,"['ccle', 'gcsi', 'gdsc']","['HCC1806', 'HCC1806', 'HCC1806']","['LPXN', 'LPXN', 'LPXN']"
TXNDC11,3,"['ccle', 'gcsi', 'gdsc']","['HCC1806', 'HCC1806', 'HCC1806']","['LITAF', 'LITAF', 'LITAF']"
CDCA5,3,"['ccle', 'gcsi', 'gdsc']","['HCC1806', 'HCC1806', 'HCC1806']","['LINC01986', 'LINC01986', 'LINC01986']"
BABAM2,3,"['ccle', 'gcsi', 'gdsc']","['HCC1806', 'HCC1806', 'HCC1806']","['DPYSL5', 'DPYSL5', 'DPYSL5']"
AC010642.2,3,"['ccle', 'gcsi', 'gdsc']","['HCC1806', 'HCC1806', 'HCC1806']","['DPRX', 'DPRX', 'DPRX']"
POLA2,3,"['ccle', 'gcsi', 'gdsc']","['HCC1806', 'HCC1806', 'HCC1806']","['CAPN1', 'CAPN1', 'CAPN1']"
TAX1BP1,3,"['ccle', 'gcsi', 'gdsc']","['HCC1806', 'HCC1806', 'HCC1806']","['AHCY', 'AHCY', 'AHCY']"
HBEGF,3,"['ccle', 'gcsi', 'gdsc']","['HCC1806', 'HCC1806', 'HCC1806']","['AC008438.2', 'AC008438.2', 'AC008438.2']"
PUM1,3,"['ccle', 'gcsi', 'gdsc']","['HCC1187', 'HCC1187', 'HCC1187']","['TRERF1', 'TRERF1', 'TRERF1']"
POFUT1,3,"['ccle', 'gcsi', 'gdsc']","['HCC1187', 'HCC1187', 'HCC1187']","['TM9SF4', 'TM9SF4', 'TM9SF4']"
CTNND1,3,"['ccle', 'gcsi', 'gdsc']","['HCC1187', 'HCC1187', 'HCC1187']","['SMTNL1', 'SMTNL1', 'SMTNL1']"
PPFIBP1,3,"['ccle', 'gcsi', 'gdsc']","['HCC1187', 'HCC1187', 'HCC1187']","['SMCO2', 'SMCO2', 'SMCO2']"
ALDOA,3,"['ccle', 'gcsi', 'gdsc']","['HCC1187', 'HCC1187', 'HCC1187']","['SHISA9', 'SHISA9', 'SHISA9']"
CTCF,3,"['ccle', 'gcsi', 'gdsc']","['HCC1187', 'HCC1187', 'HCC1187']","['SCUBE2', 'SCUBE2', 'SCUBE2']"
SEC22B,3,"['ccle', 'gcsi', 'gdsc']","['HCC1187', 'HCC1187', 'HCC1187']","['NOTCH2', 'NOTCH2', 'NOTCH2']"
AGPAT5,3,"['ccle', 'gcsi', 'gdsc']","['HCC1187', 'HCC1187', 'HCC1187']","['MCPH1', 'MCPH1', 'MCPH1']"
KMT2E,3,"['ccle', 'gcsi', 'gdsc']","['HCC1187', 'HCC1187', 'HCC1187']","['LHFPL3', 'LHFPL3', 'LHFPL3']"
MIA2,3,"['ccle', 'gcsi', 'gdsc']","['HCC1187', 'HCC1187', 'HCC1187']","['GEMIN2', 'GEMIN2', 'GEMIN2']"
KLK5,3,"['ccle', 'gcsi', 'gdsc']","['HCC1187', 'HCC1187', 'HCC1187']","['CDH23', 'CDH23', 'CDH23']"
ANKRD40,3,"['ccle', 'gcsi', 'gdsc']","['HCC1187', 'HCC1187', 'HCC1187']","['ANKRD40CL', 'ANKRD40CL', 'ANKRD40CL']"
AC245140.2,3,"['ccle', 'gcsi', 'gdsc']","['DU-145', 'DU-145', 'DU-145']","['TKTL1', 'TKTL1', 'TKTL1']"
CASP7,3,"['ccle', 'gcsi', 'gdsc']","['DU-145', 'DU-145', 'DU-145']","['PLEKHS1', 'PLEKHS1', 'PLEKHS1']"
SLC29A4,3,"['ccle', 'gcsi', 'gdsc']","['COLO-741', 'COLO-741', 'COLO-741']","['TRRAP', 'TRRAP', 'TRRAP']"
MAFK,3,"['ccle', 'gcsi', 'gdsc']","['COLO-741', 'COLO-741', 'COLO-741']","['SLC29A4', 'SLC29A4', 'SLC29A4']"
ST7,3,"['ccle', 'gcsi', 'gdsc']","['COLO-741', 'COLO-741', 'COLO-741']","['BAIAP2L1', 'BAIAP2L1', 'BAIAP2L1']"
MYO1D,3,"['ccle', 'gcsi', 'gdsc']","['COLO-741', 'COLO-741', 'COLO-741']","['ASIC2', 'ASIC2', 'ASIC2']"
DPP3,3,"['ccle', 'gcsi', 'gdsc']","['C2BBe1', 'C2BBe1', 'C2BBe1']","['SLC46A1', 'SLC46A1', 'SLC46A1']"
BRCA2,3,"['ccle', 'gcsi', 'gdsc']","['C2BBe1', 'C2BBe1', 'C2BBe1']","['N4BP2L2', 'N4BP2L2', 'N4BP2L2']"
AP003327.2,3,"['ccle', 'gcsi', 'gdsc']","['C2BBe1', 'C2BBe1', 'C2BBe1']","['AP003500.1', 'AP003500.1', 'AP003500.1']"
